year,province_id,province_name,track,school_name,school_province,city,tier,f985,f211,shuangyiliu,min_score,min_rank,avg_score,batch
2020,gx,广西,history,长江师范学院,重庆,重庆市,本科,0,0,0,474,15634,,普通类_本科二批
2020,gx,广西,history,厦门理工学院,福建,厦门市,本科,0,0,0,473,15879,,普通类_本科二批
2020,gx,广西,history,绵阳师范学院,四川,绵阳市,本科,0,0,0,473,15879,,普通类_本科二批
2020,gx,广西,history,河南理工大学,河南,焦作市,本科,0,0,0,472,16120,,普通类_本科二批
2020,gx,广西,history,上饶师范学院,江西,上饶市,本科,0,0,0,472,16120,,普通类_本科二批
2020,gx,广西,history,沈阳理工大学,辽宁,沈阳市,本科,0,0,0,506,16304,,普通类_本科二批
2020,gx,广西,history,长沙医学院,湖南,长沙市,本科,0,0,0,471,16395,,普通类_本科二批
2020,gx,广西,history,南京工程学院,江苏,南京市,本科,0,0,0,471,16395,,普通类_本科二批
2020,gx,广西,history,南昌师范学院,江西,南昌市,本科,0,0,0,471,16395,,普通类_本科二批
2020,gx,广西,history,福建商学院,福建,福州市,本科,0,0,0,471,16395,,普通类_本科二批
2020,gx,广西,history,淮阴师范学院,江苏,淮安市,本科,0,0,0,470,16660,,普通类_本科二批
2020,gx,广西,history,上海电机学院,上海,上海市,本科,0,0,0,470,16660,,普通类_本科二批
2020,gx,广西,history,福建江夏学院,福建,福州市,本科,0,0,0,470,16660,,普通类_本科二批
2020,gx,广西,history,延安大学,陕西,延安市,本科,0,0,0,470,16660,,普通类_本科二批
2020,gx,广西,history,湘南学院,湖南,郴州市,本科,0,0,0,470,16660,,普通类_本科二批
2020,gx,广西,history,湖北文理学院,湖北,襄阳市,本科,0,0,0,469,16931,,普通类_本科二批
2020,gx,广西,history,常熟理工学院,江苏,苏州市,本科,0,0,0,469,16931,,普通类_本科二批
2020,gx,广西,history,盐城师范学院,江苏,盐城市,本科,0,0,0,468,17172,,普通类_本科二批
2020,gx,广西,history,浙江水利水电学院,浙江,杭州市,本科,0,0,0,468,17172,,普通类_本科二批
2020,gx,广西,history,渤海大学,辽宁,锦州市,本科,0,0,0,467,17421,,普通类_本科二批
2020,gx,广西,history,韶关学院,广东,韶关市,本科,0,0,0,467,17421,,普通类_本科二批
2020,gx,广西,history,嘉应学院,广东,梅州市,本科,0,0,0,467,17421,,普通类_本科二批
2020,gx,广西,history,金陵科技学院,江苏,南京市,本科,0,0,0,467,17421,,普通类_本科二批
2020,gx,广西,history,山西农业大学,山西,晋中市,本科,0,0,0,467,17421,,普通类_本科二批
2020,gx,广西,history,重庆科技学院,重庆,重庆市,本科,0,0,0,493,17636,510,普通类_本科二批
2020,gx,广西,history,成都体育学院,四川,成都市,本科,0,0,0,466,17706,,普通类_本科二批
2020,gx,广西,history,广西医科大学,广西,南宁市,本科,0,0,0,466,17706,,普通类_本科二批
2020,gx,广西,history,玉林师范学院,广西,玉林市,本科,0,0,0,466,17706,,普通类_本科二批
2020,gx,广西,history,北华大学,吉林,吉林市,本科,0,0,0,466,17706,,普通类_本科二批
2020,gx,广西,history,南京大学金陵学院,江苏,南京市,本科,0,0,0,482,17787,,普通类_本科二批
2020,gx,广西,history,湖北理工学院,湖北,黄石市,本科,0,0,0,465,17990,,普通类_本科二批
2020,gx,广西,history,湖北工程学院,湖北,孝感市,本科,0,0,0,465,17990,,普通类_本科二批
2020,gx,广西,history,新乡医学院,河南,新乡市,本科,0,0,0,499,18226,,普通类_本科二批
2020,gx,广西,history,沈阳大学,辽宁,沈阳市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,东北电力大学,吉林,吉林市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,汉江师范学院,湖北,十堰市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,长春师范大学,吉林,长春市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,临沂大学,山东,临沂市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,河北地质大学,河北,石家庄市,本科,0,0,0,464,18288,,普通类_本科二批
2020,gx,广西,history,郑州航空工业管理学院,河南,郑州市,本科,0,0,0,463,18560,,普通类_本科二批
2020,gx,广西,history,景德镇陶瓷大学,江西,景德镇市,本科,0,0,0,463,18560,,普通类_本科二批
2020,gx,广西,history,九江学院,江西,九江市,本科,0,0,0,463,18560,,普通类_本科二批
2020,gx,广西,history,山东农业大学,山东,泰安市,本科,0,0,0,463,18560,,普通类_本科二批
2020,gx,广西,history,太原科技大学,山西,太原市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,云南警官学院,云南,昆明市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,福建农林大学,福建,福州市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,北部湾大学,广西,钦州市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,中原工学院,河南,郑州市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,湖南科技学院,湖南,永州市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,广西财经学院,广西,南宁市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,常州工学院,江苏,常州市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,山西大同大学,山西,大同市,本科,0,0,0,462,18838,,普通类_本科二批
2020,gx,广西,history,青岛农业大学,山东,青岛市,本科,0,0,0,461,19114,,普通类_本科二批
2020,gx,广西,history,莆田学院,福建,莆田市,本科,0,0,0,461,19114,,普通类_本科二批
2020,gx,广西,history,新余学院,江西,新余市,本科,0,0,0,461,19114,,普通类_本科二批
2020,gx,广西,history,长春大学,吉林,长春市,本科,0,0,0,461,19114,,普通类_本科二批
2020,gx,广西,history,辽宁工业大学,辽宁,锦州市,本科,0,0,0,460,19401,,普通类_本科二批
2020,gx,广西,history,徐州工程学院,江苏,徐州市,本科,0,0,0,460,19401,,普通类_本科二批
2020,gx,广西,history,湖南警察学院,湖南,长沙市,本科,0,0,0,460,19401,,普通类_本科二批
2020,gx,广西,history,哈尔滨商业大学,黑龙江,哈尔滨市,本科,0,0,0,460,19401,,普通类_本科二批
2020,gx,广西,history,昆明学院,云南,昆明市,本科,0,0,0,459,19682,,普通类_本科二批
2020,gx,广西,history,山东交通学院,山东,济南市,本科,0,0,0,459,19682,,普通类_本科二批
2020,gx,广西,history,遵义医科大学,贵州,遵义市,本科,0,0,0,459,19682,,普通类_本科二批
2020,gx,广西,history,河北金融学院,河北,保定市,本科,0,0,0,459,19682,,中外合作办学_本科二批
2020,gx,广西,history,西安医学院,陕西,西安市,本科,0,0,0,475,19741,,普通类_本科二批
2020,gx,广西,history,泰州学院,江苏,泰州市,本科,0,0,0,458,19983,,普通类_本科二批
2020,gx,广西,history,北方民族大学,宁夏,银川市,本科,0,0,0,458,19983,,汉族_本科二批
2020,gx,广西,history,邵阳学院,湖南,邵阳市,本科,0,0,0,458,19983,,普通类_本科二批
2020,gx,广西,history,天津中德应用技术大学,天津,天津市,本科,0,0,0,457,20281,,普通类_本科二批
2020,gx,广西,history,丽水学院,浙江,丽水市,本科,0,0,0,457,20281,,普通类_本科二批
2020,gx,广西,history,衢州学院,浙江,衢州市,本科,0,0,0,457,20281,,普通类_本科二批
2020,gx,广西,history,天津职业技术师范大学,天津,天津市,本科,0,0,0,457,20281,,普通类_本科二批
2020,gx,广西,history,南昌医学院,江西,南昌市,本科,0,0,0,400,20281,444.97,普通类_本科二批
2020,gx,广西,history,青海师范大学,青海,西宁市,本科,0,0,0,457,20281,,普通类_本科二批
